app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
588650,Dead Cells,21699,20906,0.9634545370754412,Dead Cells,PC,89.0,35.0,https://www.metacritic.com/game/dead-cells/critic-reviews/?platform=pc,0.89,0.07345453707544114
212680,FTL: Faster Than Light,43688,42084,0.9632851126167368,FTL: Faster Than Light,PC,84.0,42.0,https://www.metacritic.com/game/ftl-faster-than-light/critic-reviews/?platform=pc,0.84,0.1232851126167368
748490,The Legend of Heroes: Trails of Cold Steel II,1160,1117,0.9629310344827586,The Legend of Heroes: Trails of Cold Steel II,PC,81.0,5.0,https://www.metacritic.com/game/the-legend-of-heroes-trails-of-cold-steel-ii/critic-reviews/?platform=pc,0.81,0.15293103448275858
312530,Duck Game,13195,12705,0.9628647214854112,Duck Game,PC,82.0,6.0,https://www.metacritic.com/game/duck-game/critic-reviews/?platform=pc,0.82,0.1428647214854113
270880,American Truck Simulator,35313,33975,0.9621102710050125,American Truck Simulator,PC,76.0,32.0,https://www.metacritic.com/game/american-truck-simulator/critic-reviews/?platform=pc,0.76,0.20211027100501244
412830,STEINS;GATE,2335,2246,0.9618843683083512,Steins;Gate,PC,83.0,16.0,https://www.metacritic.com/game/steinsgate/critic-reviews/?platform=pc,0.83,0.13188436830835126
420,Half-Life 2: Episode Two,11468,11024,0.961283571677712,Half-Life 2: Episode Two,PC,90.0,21.0,https://www.metacritic.com/game/half-life-2-episode-two/critic-reviews/?platform=pc,0.9,0.06128357167771192
206440,To the Moon,20886,20074,0.9611222828689074,To the Moon,PC,81.0,26.0,https://www.metacritic.com/game/to-the-moon/critic-reviews/?platform=pc,0.81,0.1511222828689074
8930,Sid Meier's Civilization V,104257,100167,0.9607700202384492,Sid Meier's Civilization V,PC,90.0,70.0,https://www.metacritic.com/game/sid-meiers-civilization-v/critic-reviews/?platform=pc,0.9,0.06077002023844913
945360,Among Us,295991,284307,0.9605258267987878,Among Us,PC,85.0,9.0,https://www.metacritic.com/game/among-us/critic-reviews/?platform=pc,0.85,0.11052582679878786
457140,Oxygen Not Included,24365,23402,0.9604760927560024,Oxygen Not Included,PC,85.0,7.0,https://www.metacritic.com/game/oxygen-not-included/critic-reviews/?platform=pc,0.85,0.11047609275600245
391540,Undertale,93756,90050,0.9604718631340928,Undertale,PC,92.0,44.0,https://www.metacritic.com/game/undertale/critic-reviews/?platform=pc,0.92,0.04047186313409279
268910,Cuphead,32880,31519,0.9586070559610704,Cuphead,PC,88.0,33.0,https://www.metacritic.com/game/cuphead/critic-reviews/?platform=pc,0.88,0.07860705596107043
311690,Enter the Gungeon,27625,26466,0.9580452488687784,Enter the Gungeon,PC,84.0,28.0,https://www.metacritic.com/game/enter-the-gungeon/critic-reviews/?platform=pc,0.84,0.11804524886877843
362890,Black Mesa,32851,31438,0.9569876107272228,Black Mesa,PC,84.0,29.0,https://www.metacritic.com/game/black-mesa/critic-reviews/?platform=pc,0.84,0.11698761072722286
