app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
113200,The Binding of Isaac,26259,25054,0.9541109714764462,The Binding of Isaac,PC,84.0,30.0,https://www.metacritic.com/game/the-binding-of-isaac/,0.84,0.11411097147644622
502800,SENRAN KAGURA ESTIVAL VERSUS,1119,1067,0.9535299374441466,Senran Kagura: Estival Versus,PC,67.0,25.0,https://www.metacritic.com/game/senran-kagura-estival-versus/,0.67,0.28352993744414656
825630,STEINS;GATE 0,775,738,0.952258064516129,Steins;Gate 0,PC,81.0,20.0,https://www.metacritic.com/game/steinsgate-0/,0.81,0.142258064516129
743450,Monster Prom,6112,5820,0.9522251308900523,Monster Prom,PC,73.0,11.0,https://www.metacritic.com/game/monster-prom/,0.73,0.22222513089005236
379720,DOOM,81046,77095,0.951249907459961,DOOM,PC,79.0,66.0,https://www.metacritic.com/game/doom/,0.79,0.16124990745996093
55230,Saints Row: The Third,23661,22460,0.9492413676514095,Saints Row: The Third,PC,84.0,70.0,https://www.metacritic.com/game/saints-row-the-third/,0.84,0.10924136765140957
477160,Human: Fall Flat,24684,23409,0.9483471074380165,Human: Fall Flat,PC,70.0,21.0,https://www.metacritic.com/game/human-fall-flat/,0.7,0.24834710743801658
203160,Tomb Raider,55360,52342,0.9454841040462427,Tomb Raider,PC,86.0,70.0,https://www.metacritic.com/game/tomb-raider/,0.86,0.08548410404624274
40800,Super Meat Boy,14414,13607,0.9440127653670043,Super Meat Boy,PC,90.0,51.0,https://www.metacritic.com/game/super-meat-boy/,0.9,0.04401276536700427
728880,Overcooked! 2,6747,6366,0.9435304579813251,Overcooked! 2,PC,81.0,38.0,https://www.metacritic.com/game/overcooked-2/,0.81,0.133530457981325
233860,Kenshi,23235,21893,0.9422423068646438,Kenshi,PC,75.0,9.0,https://www.metacritic.com/game/kenshi/,0.75,0.19224230686464383
