Title,Platform,Metascore,NumberOfCriticReviews,url
Cyberdimension Neptunia: 4 Goddesses Online,PC,71.0,12.0,https://www.metacritic.com/game/cyberdimension-neptunia-4-goddesses-online/
Jurassic World Evolution,PC,69.0,57.0,https://www.metacritic.com/game/jurassic-world-evolution/
Borderlands 3,PC,81.0,53.0,https://www.metacritic.com/game/borderlands-3/
Senran Kagura: Peach Beach Splash,PC,70.0,25.0,https://www.metacritic.com/game/senran-kagura-peach-beach-splash/
BattleTech,PC,78.0,62.0,https://www.metacritic.com/game/battletech/
Nioh: Complete Edition,PC,84.0,23.0,https://www.metacritic.com/game/nioh-complete-edition/
Fairy Fencer F: Advent Dark Force,PC,71.0,21.0,https://www.metacritic.com/game/fairy-fencer-f-advent-dark-force/
Surviving Mars,PC,76.0,39.0,https://www.metacritic.com/game/surviving-mars/
Dead by Daylight,PC,64.0,18.0,https://www.metacritic.com/game/dead-by-daylight/
SoulCalibur VI,PC,84.0,78.0,https://www.metacritic.com/game/soulcalibur-vi/
They Are Billions,PC,72.0,19.0,https://www.metacritic.com/game/they-are-billions/
Hunt: Showdown,PC,81.0,25.0,https://www.metacritic.com/game/hunt-showdown/
Total War: WARHAMMER,PC,86.0,77.0,https://www.metacritic.com/game/total-war-warhammer/
Kingdom Come: Deliverance,PC,76.0,60.0,https://www.metacritic.com/game/kingdom-come-deliverance/
Final Fantasy XV: Royal Edition,PC,85.0,29.0,https://www.metacritic.com/game/final-fantasy-xv-windows-edition/
Sid Meier's Civilization VI,PC,88.0,84.0,https://www.metacritic.com/game/sid-meiers-civilization-vi/
Age of Empires: Definitive Edition,PC,69.0,50.0,https://www.metacritic.com/game/age-of-empires-definitive-edition/
The Elder Scrolls Online,PC,71.0,64.0,https://www.metacritic.com/game/the-elder-scrolls-online/
We Were Here Too,PC,69.0,7.0,https://www.metacritic.com/game/we-were-here-too/
Styx: Shards of Darkness,PC,72.0,38.0,https://www.metacritic.com/game/styx-shards-of-darkness/
Railway Empire,PC,74.0,21.0,https://www.metacritic.com/game/railway-empire/
Toukiden 2,PC,77.0,46.0,https://www.metacritic.com/game/toukiden-2/
The Crew 2,PC,64.0,53.0,https://www.metacritic.com/game/the-crew-2/
Berserk and the Band of the Hawk,PC,66.0,53.0,https://www.metacritic.com/game/berserk-and-the-band-of-the-hawk/
Just Cause 3,PC,74.0,50.0,https://www.metacritic.com/game/just-cause-3/
Conan Exiles,PC,68.0,32.0,https://www.metacritic.com/game/conan-exiles/
Staxel,PC,61.0,7.0,https://www.metacritic.com/game/staxel/
Volgarr the Viking,PC,76.0,9.0,https://www.metacritic.com/game/volgarr-the-viking/
DiRT 4,PC,85.0,44.0,https://www.metacritic.com/game/dirt-4/
Budget Cuts,PC,78.0,8.0,https://www.metacritic.com/game/budget-cuts/
Far Cry 5,PC,81.0,83.0,https://www.metacritic.com/game/far-cry-5/
Pathfinder: Kingmaker,PC,73.0,33.0,https://www.metacritic.com/game/pathfinder-kingmaker/
Darksiders III,PC,64.0,59.0,https://www.metacritic.com/game/darksiders-iii/
Rise of Industry,PC,62.0,12.0,https://www.metacritic.com/game/rise-of-industry/
Tom Clancy's Ghost Recon: Wildlands,PC,70.0,64.0,https://www.metacritic.com/game/tom-clancys-ghost-recon-wildlands/
Fallout 4,PC,87.0,58.0,https://www.metacritic.com/game/fallout-4/
Fishing: Barents Sea,PC,69.0,5.0,https://www.metacritic.com/game/fishing-barents-sea/
ARK: Survival Evolved,PC,70.0,18.0,https://www.metacritic.com/game/ark-survival-evolved/
Grand Theft Auto V,PC,97.0,66.0,https://www.metacritic.com/game/grand-theft-auto-v/
Ancestors Legacy,PC,77.0,22.0,https://www.metacritic.com/game/ancestors-legacy/
Youtubers Life,PC,63.0,5.0,https://www.metacritic.com/game/youtubers-life/
Vampyr,PC,70.0,67.0,https://www.metacritic.com/game/vampyr/
The Wild Eight,PC,63.0,4.0,https://www.metacritic.com/game/the-wild-eight/
Steel Division: Normandy 44,PC,83.0,24.0,https://www.metacritic.com/game/steel-division-normandy-44/
Black Desert Online,PC,73.0,35.0,https://www.metacritic.com/game/black-desert-online/
Secret of Mana,PC,80.0,8.0,https://www.metacritic.com/game/secret-of-mana/
Torment: Tides of Numenera,PC,81.0,72.0,https://www.metacritic.com/game/torment-tides-of-numenera/
Dragon Quest Heroes II,PC,76.0,68.0,https://www.metacritic.com/game/dragon-quest-heroes-ii/
Titan Souls,PC,74.0,46.0,https://www.metacritic.com/game/titan-souls/
WWE 2K19,PC,76.0,44.0,https://www.metacritic.com/game/wwe-2k19/
No Man's Sky,PC,71.0,96.0,https://www.metacritic.com/game/no-mans-sky/
PixARK,PC,38.0,5.0,https://www.metacritic.com/game/pixark/
Metal Gear Survive,PC,60.0,70.0,https://www.metacritic.com/game/metal-gear-survive/
For Honor,PC,78.0,59.0,https://www.metacritic.com/game/for-honor/
PlayerUnknown's Battlegrounds,PC,86.0,46.0,https://www.metacritic.com/game/playerunknowns-battlegrounds/
Artifact,PC,76.0,20.0,https://www.metacritic.com/game/artifact/
Call of Duty: WWII,PC,79.0,83.0,https://www.metacritic.com/game/call-of-duty-wwii/
Just Cause 4,PC,68.0,43.0,https://www.metacritic.com/game/just-cause-4/
WWE 2K17,PC,69.0,52.0,https://www.metacritic.com/game/wwe-2k17/
Dead Rising 4,PC,72.0,86.0,https://www.metacritic.com/game/dead-rising-4/
NBA 2K19,PC,82.0,49.0,https://www.metacritic.com/game/nba-2k19/
Dynasty Warriors 9,PC,65.0,49.0,https://www.metacritic.com/game/dynasty-warriors-9/
NBA 2K21,PC,68.0,50.0,https://www.metacritic.com/game/nba-2k21/
Wolfenstein: Youngblood,PC,69.0,50.0,https://www.metacritic.com/game/wolfenstein-youngblood/
Call of Duty: Infinite Warfare,PC,77.0,87.0,https://www.metacritic.com/game/call-of-duty-infinite-warfare/
"Warhammer 40,000: Dawn of War III",PC,77.0,76.0,https://www.metacritic.com/game/warhammer-40000-dawn-of-war-iii/
Nether,PC,57.0,7.0,https://www.metacritic.com/game/nether/
X Rebirth,PC,33.0,24.0,https://www.metacritic.com/game/x-rebirth/
WWE 2K20,PC,43.0,29.0,https://www.metacritic.com/game/wwe-2k20/
Takedown: Red Sabre,PC,34.0,17.0,https://www.metacritic.com/game/takedown-red-sabre/
NBA 2K18,PC,80.0,54.0,https://www.metacritic.com/game/nba-2k18/
Deus Ex: The Fall,PC,69.0,43.0,https://www.metacritic.com/game/deus-ex-the-fall/
Umbrella Corps,PC,38.0,55.0,https://www.metacritic.com/game/umbrella-corps/
Urban Empire,PC,62.0,20.0,https://www.metacritic.com/game/urban-empire/
RollerCoaster Tycoon World,PC,43.0,7.0,https://www.metacritic.com/game/rollercoaster-tycoon-world/
