app_id,app_name,review_count,positive_reviews,negative_reviews,recommendation_rate,sampled_negative,sampled_positive
513710,SCUM,19677,13994,5683,71.11856482187325,150,150
834910,ATLAS,19623,9454,10169,48.17815828364674,150,150
274190,Broforce,19588,18908,680,96.52848682867061,150,150
636480,Ravenfield,19357,18683,674,96.5180554838043,150,150
460930,Tom Clancy's Ghost Recon® Wildlands,19243,14699,4544,76.38621836511979,150,150
638970,Yakuza 0,19181,18355,826,95.69365517960482,150,150
613100,House Flipper,18949,17271,1678,91.14465143279328,150,150
648350,Jurassic World Evolution,18588,15524,3064,83.51624704110179,150,150
582160,Assassin's Creed Origins,17832,14918,2914,83.65859129654554,150,150
570940,DARK SOULS™: REMASTERED,17685,15145,2540,85.63754594288946,150,150
637090,BATTLETECH,17317,14346,2971,82.84344863429,150,150
1190460,DEATH STRANDING,17137,15826,1311,92.34988621112214,150,150
1118200,People Playground,17100,16905,195,98.85964912280701,150,150
678950,DRAGON BALL FighterZ,16864,15220,1644,90.25142314990512,150,150
240720,Getting Over It with Bennett Foddy,16488,13706,2782,83.12712275594372,150,150
779340,Total War: THREE KINGDOMS,16073,13861,2212,86.23779008274747,150,150
250320,The Wolf Among Us,15251,14871,380,97.50836010753393,150,150
1089980,The Henry Stickmin Collection,15158,15009,149,99.01702071513392,128,150
221640,Super Hexagon,14869,14398,471,96.83233573205999,150,150
504230,Celeste,14863,14512,351,97.63843100316221,150,150
466560,Northgard,14811,12774,2037,86.24670852744582,150,150
35140,Batman: Arkham Asylum GOTY Edition,14687,14075,612,95.83304963573228,150,150
32470,STAR WARS™ Empire at War: Gold Pack,14627,14217,410,97.1969645176728,150,150
787860,Farming Simulator 19,14603,13385,1218,91.65924809970554,150,150
644930,They Are Billions,14523,11855,2668,81.62913998485162,150,150
47890,The Sims(TM) 3,14464,12458,2006,86.13108407079646,150,150
1057090,Ori and the Will of the Wisps,14417,13980,437,96.96885621141708,150,150
40800,Super Meat Boy,14414,13607,807,94.40127653670044,150,150
447040,Watch_Dogs 2,14340,11676,2664,81.42259414225941,150,150
621060,PC Building Simulator,13952,13191,761,94.54558486238533,150,150
418370,Resident Evil 7 Biohazard,13839,12877,962,93.04863068140762,150,150
683320,GRIS,13520,12911,609,95.49556213017752,150,150
476600,Call of Duty: WWII,13329,7648,5681,57.3786480606197,150,150
640820,Pathfinder: Kingmaker,13210,10232,2978,77.45647236941711,150,150
312530,Duck Game,13195,12705,490,96.28647214854111,150,150
637650,FINAL FANTASY XV WINDOWS EDITION,12637,10161,2476,80.40674210651262,150,150
420,Half-Life 2: Episode Two,11468,11024,444,96.12835716777118,150,150
420530,OneShot,11350,11137,213,98.12334801762114,150,150
535930,Two Point Hospital,11266,10308,958,91.49653825670158,150,150
447820,Day of Infamy,11086,9402,1684,84.80966985386975,150,150
264200,One Finger Death Punch,11036,10843,193,98.25117796303009,150,150
420290,Blackwake,10917,9267,1650,84.8859576806815,150,150
666140,My Time At Portia,10831,10141,690,93.62939710091405,150,150
292730,Call of Duty: Infinite Warfare,10810,4860,5950,44.95837187789084,150,150
489940,BATTALION 1944,10695,6580,4115,61.524076671341746,150,150
247730,Nether,10540,4079,6461,38.700189753320686,150,150
1128000,Cube World,10321,3568,6753,34.57029357620386,150,150
646910,The Crew 2,10289,8133,2156,79.04558266109437,150,150
413410,Danganronpa: Trigger Happy Havoc,10013,9724,289,97.11375212224108,150,150
250760,Shovel Knight: Treasure Trove,9830,9477,353,96.4089521871821,150,150
285190,"Warhammer 40,000: Dawn of War III",9732,4192,5540,43.074393752568845,150,150
583950,Artifact,9452,5591,3861,59.15150232754973,150,150
447530,VA-11 Hall-A: Cyberpunk Bartender Action,9417,9134,283,96.99479664436657,150,150
206190,Gunpoint,9340,9112,228,97.55888650963597,150,150
519860,DUSK,9274,9124,150,98.38257494069441,144,150
214560,Mark of the Ninja,9245,8961,284,96.92806922660898,150,150
312660,Sniper Elite 4,8926,7890,1036,88.39345731570693,150,150
424840,Little Nightmares,8895,8117,778,91.25351320966836,150,150
517630,Just Cause 4,8675,4823,3852,55.596541786743515,150,150
760060,Mutant Year Zero: Road to Eden,8482,7600,882,89.60150907804763,150,150
481510,Night in the Woods,8419,7919,500,94.061052381518,150,150
464920,Surviving Mars,8234,6768,1466,82.1957736215691,150,150
288160,The Room,8052,7828,224,97.2180824639841,150,150
590380,Into the Breach,7902,7404,498,93.69779802581625,150,150
413420,Danganronpa 2: Goodbye Despair,7347,7158,189,97.42752143732136,150,150
485510,Nioh: Complete Edition,7254,6008,1246,82.82326992004411,150,150
512900,Streets of Rogue,6970,6729,241,96.54232424677188,150,150
736260,Baba Is You,6960,6831,129,98.14655172413794,122,150
527230,For The King,6895,6186,709,89.71718636693257,150,150
728880,Overcooked! 2,6747,6366,381,94.3530457981325,150,150
427290,Vampyr,6686,4960,1726,74.18486389470536,150,150
560130,Pillars of Eternity II: Deadfire,6472,5668,804,87.57725587144623,150,150
571740,Golf It!,6345,5530,815,87.15524034672971,150,150
428690,Youtubers Life,6338,4729,1609,74.61344272641212,150,150
681660,Bless Online,6289,2239,4050,35.60184449038003,150,150
644560,Mirror,6245,5804,441,92.93835068054443,150,150
743450,Monster Prom,6112,5820,292,95.22251308900523,150,150
341800,Keep Talking and Nobody Explodes,5946,5863,83,98.60410359905819,75,150
425580,The Room Two,5783,5646,137,97.63098737679405,132,150
712100,Total War Saga: Thrones of Britannia,5609,3629,1980,64.69958994473168,150,150
731490,Crash Bandicoot™ N. Sane Trilogy,5449,4982,467,91.42962011378235,150,150
429660,Tales of Berseria,5367,4958,409,92.37935531954537,150,150
673880,"Warhammer 40,000: Mechanicus",5159,4776,383,92.57608063578213,150,150
445220,Avorion,5056,4615,441,91.27768987341773,150,150
269950,X-Plane 11,5029,4518,511,89.83893418174587,150,150
531510,Just Shapes & Beats,5026,4923,103,97.95065658575407,87,150
544750,SOULCALIBUR VI,5021,4110,911,81.85620394343756,150,150
200900,Cave Story+,4805,4506,299,93.77731529656607,150,150
537800,Bomber Crew,4783,4187,596,87.53920133807235,150,150
283640,Salt and Sanctuary,4772,4288,484,89.85750209555742,150,150
1229490,ULTRAKILL,4770,4750,20,99.58071278825996,18,150
841370,NBA 2K19,4742,2335,2407,49.24082665541965,150,150
1291340,Townscaper,4469,4429,40,99.10494517789215,39,150
773951,Freeman: Guerrilla Warfare,4436,3380,1056,76.19477006311993,150,150
1222700,A Way Out,4398,3915,483,89.01773533424284,150,150
626690,Sword Art Online: Fatal Bullet,4362,3646,716,83.58551123337918,150,150
1225330,NBA 2K21,4228,2039,2189,48.226111636707664,150,150
1055540,A Short Hike,4203,4161,42,99.00071377587437,39,150
421020,DiRT 4,4176,3260,916,78.06513409961686,150,150
291860,Pit People,4162,3899,263,93.68092263334935,150,150
2870,X Rebirth,4102,1512,2590,36.86006825938566,150,150
872790,Football Manager 2019,4005,3512,493,87.6903870162297,150,150
606280,Darksiders III,3967,3054,913,76.98512730022688,150,150
585420,Trailmakers,3840,3491,349,90.91145833333333,150,150
609320,FAR: Lone Sails,3834,3556,278,92.7490871152843,150,150
577800,NBA 2K18,3818,1270,2548,33.26348873755893,150,150
337340,Finding Paradise,3805,3726,79,97.92378449408673,77,150
589360,Ni no Kuni™ II: Revenant Kingdom,3778,3173,605,83.9862361037586,150,150
